word,source,word_length
a,Oxford3000,1
abandon,Oxford3000,7
ability,Oxford3000,7
able,Oxford3000,4
about,Oxford3000,5
above,Oxford3000,5
abroad,Oxford3000,6
absolute,Oxford3000,8
absolutely,Oxford3000,10
academic,Oxford3000,8
accept,Oxford3000,6
acceptable,Oxford3000,10
access,Oxford3000,6
accident,Oxford3000,8
accommodation,Oxford3000,13
accompany,Oxford3000,9
according to,Oxford3000,12
account,Oxford3000,7
accurate,Oxford3000,8
accuse,Oxford3000,6
achieve,Oxford3000,7
achievement,Oxford3000,11
acknowledge,Oxford3000,11
acquire,Oxford3000,7
across,Oxford3000,6
act,Oxford3000,3
action,Oxford3000,6
active,Oxford3000,6
activity,Oxford3000,8
actor,Oxford3000,5
actress,Oxford3000,7
actual,Oxford3000,6
actually,Oxford3000,8
ad,Oxford3000,2
adapt,Oxford3000,5
add,Oxford3000,3
addition,Oxford3000,8
additional,Oxford3000,10
address,Oxford3000,7
administration,Oxford3000,14
admire,Oxford3000,6
admit,Oxford3000,5
adopt,Oxford3000,5
adult,Oxford3000,5
advance,Oxford3000,7
advanced,Oxford3000,8
advantage,Oxford3000,9
adventure,Oxford3000,9
advertise,Oxford3000,9
advertisement,Oxford3000,13
advertising,Oxford3000,11
advice,Oxford3000,6
advise,Oxford3000,6
affair,Oxford3000,6
affect,Oxford3000,6
afford,Oxford3000,6
afraid,Oxford3000,6
after,Oxford3000,5
afternoon,Oxford3000,9
afterwards,Oxford3000,10
again,Oxford3000,5
against,Oxford3000,7
age,Oxford3000,3
aged,Oxford3000,4
agency,Oxford3000,6
agenda,Oxford3000,6
agent,Oxford3000,5
aggressive,Oxford3000,10
ago,Oxford3000,3
agree,Oxford3000,5
agreement,Oxford3000,9
ah,Oxford3000,2
ahead,Oxford3000,5
aid,Oxford3000,3
aim,Oxford3000,3
air,Oxford3000,3
aircraft,Oxford3000,8
airline,Oxford3000,7
airport,Oxford3000,7
alarm,Oxford3000,5
album,Oxford3000,5
alcohol,Oxford3000,7
alcoholic,Oxford3000,9
alive,Oxford3000,5
all,Oxford3000,3
all right,Oxford3000,9
allow,Oxford3000,5
almost,Oxford3000,6
alone,Oxford3000,5
along,Oxford3000,5
already,Oxford3000,7
also,Oxford3000,4
alter,Oxford3000,5
alternative,Oxford3000,11
although,Oxford3000,8
always,Oxford3000,6
amazed,Oxford3000,6
amazing,Oxford3000,7
ambition,Oxford3000,8
ambitious,Oxford3000,9
among,Oxford3000,5
amount,Oxford3000,6
analyse,Oxford3000,7
analysis,Oxford3000,8
ancient,Oxford3000,7
and,Oxford3000,3
anger,Oxford3000,5
angle,Oxford3000,5
angrily,Oxford3000,7
angry,Oxford3000,5
animal,Oxford3000,6
ankle,Oxford3000,5
anniversary,Oxford3000,11
announce,Oxford3000,8
announcement,Oxford3000,12
annoy,Oxford3000,5
annoyed,Oxford3000,7
annoying,Oxford3000,8
annual,Oxford3000,6
another,Oxford3000,7
answer,Oxford3000,6
anxious,Oxford3000,7
any,Oxford3000,3
any more,Oxford3000,8
anybody,Oxford3000,7
anyone,Oxford3000,6
anything,Oxford3000,8
anyway,Oxford3000,6
anywhere,Oxford3000,8
apart,Oxford3000,5
apartment,Oxford3000,9
apologize,Oxford3000,9
app,Oxford3000,3
