student_id,current_level,quiz_score,time_spent_mins,ab_test_group
1001,Beginner,95.22293739994402,99.59925835264528,Group B
1002,Advanced,71.94786533510826,126.9676109148301,Group B
1003,Intermediate,77.13483508197756,128.79217419896042,Group B
1004,Intermediate,59.96205953043287,98.56945745920896,Group A
1005,Beginner,82.22471109594886,175.9732353343427,Group B
1006,Beginner,,134.21498762735362,Group A
1007,Beginner,83.22718560338089,84.26089508392054,Group A
1008,Advanced,53.45538112895354,,Group A
1009,Intermediate,87.11862831503733,90.75954989318035,Group B
1010,Intermediate,100.0,143.61253811227357,Group B
1011,Beginner,83.39321581270421,154.75786737022213,Group B
1012,Advanced,78.03423444197882,95.37953044944868,Group A
1013,Advanced,83.80287983422225,148.90128387732966,Group A
1014,Beginner,75.98779528114164,132.38342780809495,Group A
1015,Beginner,82.24092481810416,144.6618047998347,Group A
1016,Beginner,80.12592400781794,,Group A
1017,Beginner,80.97676098548831,112.63835651991388,Group A
1018,Intermediate,65.39856733593179,97.38791506927531,Group B
1019,Beginner,84.75361561441754,93.3145671112343,Group B
1020,Beginner,89.43453577295917,95.52569145103685,Group B
1021,Intermediate,96.37338083104248,,Group B
1022,Beginner,89.59270826085206,130.2345592444993,Group A
1023,Beginner,100.0,128.30072397990057,Group A
1024,Beginner,77.21793463808388,144.8154974710807,Group B
1025,Beginner,88.72320636720679,120.39005675633722,Group A
1026,Intermediate,82.28826102565792,,Group B
1027,Beginner,100.0,112.06029500286132,Group B
1028,Intermediate,,201.60507499768858,Group B
1029,Intermediate,62.40417236728836,138.7700204329502,Group A
1030,Beginner,81.25920360465528,94.28527330751152,Group B
1031,Intermediate,47.60378675424323,87.87322505816664,Group B
1032,Beginner,77.52939796570904,134.47417245729557,Group B
1033,Beginner,72.40867338446301,113.29611644022447,Group A
1034,Advanced,73.00787572952416,141.42001482276277,Group A
1035,Advanced,86.9818391220429,134.19712873720636,Group B
1036,Advanced,100.0,117.81513262029382,Group A
1037,Beginner,89.5042383818605,94.59618845794785,Group A
1038,Beginner,74.23096344337597,74.55458325942406,Group A
1039,Intermediate,61.52377992977463,106.60455143798937,Group A
1040,Beginner,84.91919171506505,145.69196382970418,Group A
1041,Beginner,66.79766792979358,126.42281232390611,Group A
1042,Beginner,98.31458765854353,82.62783663864036,Group A
1043,Beginner,91.79440120721287,,Group A
1044,Advanced,60.616486957905906,131.5595213918651,Group A
1045,Beginner,62.868654709091224,93.48427691396601,Group A
1046,Intermediate,100.0,124.61175317836583,Group B
1047,Beginner,83.88246013129971,121.74626155338,Group B
1048,Intermediate,93.56724467960193,85.71089106508131,Group A
1049,Intermediate,56.035334943864484,130.73362081044849,Group B
1050,Beginner,79.40241929199799,136.82353579104702,Group B
1051,Advanced,70.10487399436366,152.4915372952583,Group A
1052,Intermediate,75.70470890647113,151.6140615610471,Group A
1053,Advanced,60.99869057041513,78.66991896128727,Group A
1054,Advanced,87.16827782310209,91.86524880254632,Group B
1055,Intermediate,62.838369545500605,135.4510580162598,Group B
1056,Advanced,67.15241029957413,135.41357852736627,Group A
1057,Beginner,81.20295631711899,135.45143058918143,Group A
1058,Beginner,85.14438834058748,235.58194471964163,Group A
1059,Beginner,91.0224308984081,137.126715320795,Group B
1060,Beginner,73.68807254118931,154.06696920541796,Group B
1061,Beginner,68.57200875037624,148.62005290479607,Group B
1062,Beginner,96.35107665363077,139.54173753917394,Group B
1063,Advanced,,110.54192266078964,Group A
1064,Beginner,72.51513463443446,142.76907661479802,Group A
1065,Beginner,95.51151975522524,96.81524356387285,Group A
1066,Intermediate,,112.89544179779973,Group A
1067,Beginner,97.00583229602205,105.4390935651269,Group B
1068,Advanced,75.84041519336046,122.45622418158968,Group B
1069,Beginner,100.0,189.43975700020525,Group A
1070,Advanced,100.0,63.98204422224756,Group A
1071,Intermediate,79.27352374997928,140.5878057112354,Group B
1072,Beginner,89.71570950954356,71.61852386431045,Group A
1073,Beginner,86.15181987906544,105.842044026317,Group B
1074,Advanced,97.37263115064698,152.66851790902098,Group A
1075,Intermediate,60.52614809129843,121.92840057286388,Group A
1076,Intermediate,85.29077189997659,87.66765666212082,Group A
1077,Intermediate,90.87636730274382,98.54088872220095,Group A
1078,Beginner,62.41260513576886,140.38793246804028,Group A
1079,Beginner,68.16741487334225,98.0890010484859,Group A
1080,Beginner,59.607678222398995,126.49375768745925,Group A
1081,Advanced,71.79487701495377,121.36715519711441,Group B
1082,Intermediate,93.2553042219347,100.4519895718255,Group B
1083,Beginner,95.87679005614397,184.31832267975977,Group B
1084,Beginner,85.05557261603705,139.01757066954033,Group B
1085,Beginner,100.0,59.24572240027179,Group B
1086,Beginner,66.19898541785109,125.59362944308283,Group A
1087,Intermediate,49.44926340967268,100.14640605694836,Group A
1088,Intermediate,76.35176112711508,145.5730000438867,Group B
1089,Advanced,77.68130897878615,96.22437784701899,Group A
1090,Beginner,83.11741914387731,116.55790675599303,Group B
1091,Beginner,62.10442730866958,135.1496183694137,Group B
1092,Intermediate,73.66319940730817,145.97265582510363,Group A
1093,Intermediate,,83.99110778832672,Group A
1094,Intermediate,85.04508823245058,109.96496292477156,Group A
1095,Intermediate,89.00351457829996,105.75164066517132,Group B
1096,Beginner,70.60120213672644,100.40012302278865,Group A
1097,Intermediate,74.16335302624452,172.9636272084329,Group B
1098,Beginner,76.9509749710988,132.14945132882866,Group B
1099,Beginner,,82.17348136994865,Group B
1100,Beginner,89.55142320501238,147.5358584116433,Group A
1101,Beginner,70.14273953664457,183.664685910379,Group A
1102,Intermediate,85.30259419033321,150.9739578165344,Group B
1103,Beginner,74.69742381627559,74.4189010213796,Group A
1104,Intermediate,63.10690751606484,105.47297781401247,Group A
1105,Advanced,67.85939280090885,158.00733447559867,Group A
1106,Beginner,73.59853624324671,98.76991603143658,Group B
1107,Beginner,80.44225606898402,133.31458284438685,Group B
1108,Intermediate,57.03183161116728,143.23902160288011,Group A
1109,Beginner,100.0,92.19208585265751,Group B
1110,Beginner,,118.214239318146,Group A
1111,Beginner,73.00274492007415,30.0,Group A
1112,Beginner,82.13979910734221,89.2683707599713,Group A
1113,Advanced,67.7534390061834,112.4229554582052,Group A
1114,Advanced,,82.56650454105451,Group B
1115,Intermediate,88.7318497043351,168.97233911794905,Group B
1116,Advanced,89.40051258584691,77.09575866118102,Group B
1117,Advanced,59.38997704778945,106.79866539909048,Group A
1118,Beginner,74.2418175935532,123.92221731858274,Group A
1119,Advanced,,163.23819867198347,Group A
1120,Intermediate,46.893102465373204,76.92413546461682,Group B
1121,Advanced,39.69617875602896,154.8949125646488,Group A
1122,Advanced,100.0,120.3069918305876,Group B
1123,Beginner,100.0,90.55474046856148,Group B
1124,Beginner,84.82829921116472,133.86310422789813,Group B
1125,Beginner,88.60344297535786,125.9717908672041,Group B
